問題ID,分野,問題文,画像,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,解説画像
57,テクノロジ系,"a～dのうち，ファイアウォールの設置によって実現できる事項として，適切なものだけを全て挙げたものはどれか。
a.外部に公開するWebサーバやメールサーバを設置するためのDMZの構築
b.外部のネットワークから組織内部のネットワークへの不正アクセスの防止
c.サーバルームの入り口に設置することによるアクセスを承認された人だけの入室
d.不特定多数のクライアントからの大量の要求を複数のサーバに動的に振り分けることによるサーバ負荷の分散",,"a, b","a, b, d","b, c","c, d",1,"ファイアウォールは、不正なデータの通過を阻止するためにネットワーク同士の境界線に設置する機器や機能です。
a.適切。ネットワークを外部、内部、中間的なエリア(DMZ)に分離し、各セグメント間の通信をファイアウォールで制御することで独立した3つの区画として管理することができます。
b.適切。外部から内部ネットワークへの不正な通信は、ファイアウォールで遮断することができます。ファイアウォールの主な役割の一つです。
c.不適切。ファイアウォールは通信を制御するためのものであり、物理的な入退室管理に使うものではありません。
d.不適切。ファイアウォールには負荷分散の機能はありません。負荷分散を行う機器はロードバランサーです。",57exp.png
58,テクノロジ系,IoT機器やPCに保管されているデータを暗号化するためのセキュリティチップであり，暗号化に利用する鍵などの情報をチップの内部に記憶しており，外部から内部の情報の取出しが困難な構造をもつものはどれか。,,GPU,NFC,TLS,TPM,4,"TPM(Trusted Platform Module)は、PCのマザーボード上に直付けされるセキュリティチップで、暗号化／復号や鍵ペアの生成、ハッシュ値の計算、デジタル署名の生成・検証などの機能を有します。内部のデータを読み取ろうとしてもチップへの干渉により物理的に破損する構造になっているため、外部からの攻撃に強い耐性があります。
TPMによって提供される機能には以下のようなものがあります。
・OSやアプリケーションの改ざん検知
・端末認証
・ストレージ全体の暗号化",
59,マネジメント系,利用者がITサービスプロバイダと契約する際，双方の間でサービスの品質と範囲を明文化する文書はどれか。,,サービスカタログ,サービス文書,サービスレベル合意書,サービスレベル要件,3,"サービスレベル合意書(SLA:Service Level Agreement)は、通信サービス事業者(プロバイダ)と利用者の間で交わされる、サービスの品質保証に関する合意もしくは契約文書のことです。
文書では回線の最低通信速度や利用不能時間の上限のようにサービス品目とそれぞれの保証水準、および保証水準を達成できなかった場合のペナルティ事項などが具体的な数値により示されます。",
60,マネジメント系,"ソフトウェアの品質を判定する指標として，機能単位の不良件数をその開発規模で割った値を""不良密度""と定義する。不良密度の下限値と上限値を設定し，実績値がその範囲を逸脱した場合に問題ありと判定するとき，A工程では問題がなく，B工程で問題があると判定される機能はどれか。ここで，不良密度の下限値は0.25件／KS，上限値は0.65件／KSとする。また，不良密度の下限値，上限値及び開発規模は，両工程とも同じとする。",60qa.png,ア,イ,ウ,エ,4,参考図の通り,60exp.png
61,テクノロジ系,"関係データベースで管理している""販売明細""表と""商品""表がある。ノートの売上数量の合計は幾らか。",61qa.png,40,80,120,200,3,"""販売明細""表の商品コードに""商品""表の商品名を紐付けると以下のようになります。",61exp.png
62,ストラテジ系,SaaSの説明として，最も適切なものはどれか。,,インターネットへの接続サービスを提供する。,システムの稼働に必要な規模のハードウェア機能を，サービスとしてネットワーク経由で提供する。,ハードウェア機能に加えて，OSやデータベースソフトウェアなど，アプリケーションソフトウェアの稼働に必要な基盤をネットワーク経由で提供する。,利用者に対して，アプリケーションソフトウェアの必要な機能だけを必要なときに，ネットワーク経由で提供する。,4,"SaaS(Software as a Service)は、サービス提供事業者が運用するソフトウェアをインターネット経由で利用するクラウドサービスの形態です。ソフトウェアのデータやユーザー情報も含めてインターネット上で管理されます。自社でシステムを構築・保守する場合と比べて、時間と費用を大幅に節約することができる利点があります。
SaaSの例としてはインターネット経由で利用するメールサービスやグループウェア、会計システムなどがあります。",
63,テクノロジ系,Webサイトの更新状況を把握するために使われる情報の形式はどれか。,,CSS,DHCP,ISMS,RSS,4,"RSSは、ブログやニュースサイト、電子掲示板などのWebサイトで、効率の良い情報収集や情報発信を行うために用いる文書フォーマットの総称です。ページの見出しや要約、更新時刻などの記事に関するメタデータが、XMLベースの記述形式で構造化されて記録されています。
また、指定したWebサイトを巡回し、Webサイトの見出しや要約などを小さくまとめた「フィード」と呼ばれるRSS形式の更新情報を取得してリンク一覧を作成するソフトウェアを「RSSリーダー」といいます。",63exp.png
64,マネジメント系,営業部門の営業員が出張する際の出張旅費の手続に関して，組織間でけん制を日常的に実施している状況の記述として，最も適切なものはどれか。,,営業員が出張後に経理部門に提出した旅費精算の書類と証票類について，経理担当者が適切な内容であることを審査し，経理課長が承認する。,営業員が出張後に旅費の精算を行い，上長が承認を行う。経理部門では承認済みであるので支払を行う。,営業員は出張の事前申請を行って上長の承認を得た後に，切符や宿泊施設の手配を旅行会社に依頼する。,会計年度における営業部門の旅費精算の書類と証票類から，監査人がサンプリングして，営業員の処理内容の適切性を確認する。,1,けん制（牽制）とは、一つの業務を複数の部門または担当者にまたがって処理させることで、相互チェックが機能している状態です。不正や誤りを未然に防ぐためには、申請者と承認者を分けるなど、一人の判断や一部門だけで完結させない体制をとることが重要です。,
65,ストラテジ系,企業間で商取引の情報の書式や通信手順を統一し，電子的に情報交換を行う仕組みはどれか。,,EDI,EIP,ERP,ETC,1,EDI(Electronic Data Interchange)は、電子データ交換と訳され、標準化された規約に基づき、電子商取引のためのメッセージを通信回線を介して異なる組織間で交換する仕組みのことです。,
66,ストラテジ系,サプライチェーンマネジメントの目的はどれか。,,生産，販売，物流など個々のプロセスの不要な在庫の削減やリードタイムの短縮によって，プロセス全体の最適化を図る。,生産，販売，物流などの業務全体の効率や生産性を改善するために，業務内容や手続を根本的に見直して再構築を行う。,生産，販売，物流などの業務全体をアウトソーシングすることによって，効率改善とコストダウンを図る。,生産，販売，物流などの個々のプロセスに加え，財務や経理なども含めた経営資源を一元的に管理する。,1,サプライチェーンマネジメント(SCM:Supply Chain Management)は、生産・在庫・購買・販売・物流などすべての情報をリアルタイムに交換することによって生産から販売に至る一連の流れ全体の効率を大幅に向上させることを目指す管理手法です。導入することで「納期短縮」や「在庫削減」といった効果が期待できます。,
67,ストラテジ系,自社の保有する特許の活用方法のーつとしてクロスライセンスがある。クロスライセンスにおける特許の実施権に関する説明として，適切なものはどれか。,,許諾した相手に，特許の独占的な実施権を与える。,特許の実施権を許諾された相手が更に第三者に実施許諾を与える。,特許を有する2社の間で，互いの有する特許の実施権を許諾し合う。,複数の企業が，有する特許を1か所に集中管理し，そこから特許を有しない企業も含めて参加する企業に実施権を与える。,3,"クロスライセンスとは、2つまたは複数の企業等が、自らの持つ特許権の知的財産権の行使を互いに許諾することです。
契約を結ぶ企業のそれぞれが自らの保有する特許権を利用して、他企業が保有する特許権を使用料を支払わずに使用することができるほか、開発を推進させ技術の向上を図ることができるメリットがあります。",
68,ストラテジ系,個人情報保護法では個人情報取扱事業者に対して安全管理措置を講じることを求めている。経済産業分野のガイドラインでは，安全管理措置は技術的安全管理措置，組織的安全管理措置，人的安全管理措置，物理的安全管理措置に分類している。このうち，人的安全管理措置の具体例として，適切なものはどれか。,,安全管理に対する規程と従業員による体制の整備,安全管理に対する従業員の役割及び責任についての周知や教育の実施,個人データを取り扱う情報システムへの従業員ごとのアクセス制御,従業員の入退出管理や個人データを記録した媒体の施錠管理,2,"個人情報保護の経済産業分野のガイドラインでは、それぞれの安全措置を以下のように定義しています。
【技術的安全管理措置】
個人データ及びそれを取り扱う情報システムへのアクセス制御、不正ソフトウェア対策、情報システムの監視等、個人データに対する技術的な安全管理措置をいう。
【組織的安全管理措置】
安全管理について従業者の責任と権限を整備運用し、その実施状況を確認することをいう。
【人的安全管理措置】
従業者に対する、業務上秘密と指定された個人データの非開示契約の締結や教育・訓練等を行うことをいう。
【物理的安全管理措置】
入退館(室)の管理、個人データの盗難の防止等の措置をいう。
　このうち人的管理措置として講じなければならない事項として、以下の2つが挙げられています。
１．雇用契約時における従業者との非開示契約の締結、及び委託契約等（派遣契約を含む。）における委託元と委託先間での非開示契約の締結
２．従業者に対する内部規程等の周知・教育・訓練の実施",
69,ストラテジ系,外部のストレージサービスの利用を検討している。可用性の観点でサービスを評価する項目として，適切なものはどれか。,,緊急のメンテナンスに伴うサービスの計画外の停止時間,サービス利用の際のユーザーインタフェースの分かりやすさ,保管データや利用者に対するアクセス権の設定の自由度,利用するストレージの単位容量当たりの費用,1,可用性(アベイラビリティ)とは、利用者から見て「必要なときに必要な機能を利用できる」度合いを示す能力です。一般にシステムが継続して稼働できる能力のことを指し、稼働率は可用性を評価する指標です。,
70,テクノロジ系,"関係データベースを使い""社員""表と""部署""表を作成して社員情報を管理する。""社員""表と""部署""表に，必要に応じて設定する主キーと外部キーの適切な組合せはどれか。ここで，社員は必ず""部署""表に存在する部署に所属するものとし，社員データの追加や更新をするときには，参照制約を利用して整合性を確保するものとする。",70qa(1).png;70qa(2).png,ア,イ,ウ,エ,2,"関係データベースにおいて主キーと外部キーは次のような役割をもつ属性です。
【主キー】
テーブル(表)ごとに設定され、テーブルの中で、ある一つの行を一意に特定できる値を保持する属性(列)又はその組合せ
【外部キー】
他の表を参照するために設定される列。外部キーは参照する表の主キー列と同じ項目になる。
　主キーは、表内の1行を特定できる属性なので、行ごと異なる番号が振られた社員表の社員コード、部署表の部署コードになります。また、社員表と部署表は部署コードを通じて関係があるため、部署表の主キーを参照している社員表の部署コードが外部キーになります。",
71,テクノロジ系,"あるキューに要素""33""，要素""27""及び要素""12""の三つがこの順序で格納されている。このキューに要素""45""を追加した後に要素を二つ取り出す。2番目に取り出される要素はどれか。",,12,27,33,45,2,"キューは、先に入ったものから先に取り出す「先入先出し方式」のデータ構造です。
要素の投入順番は、1番目""33""，2番目""27""，3番目""12""で、""45""は4番目にキューに入ることになります。
その後の要素２つの取り出しですが、「先に入ったものから先に取り出す」ので、1番目に、最初に投入された""33""が取り出され、2番目は、""33""の次にキューに入った""27""が取り出されることになります。",
72,テクノロジ系,"ワンタイムパスワードに関する記述中のa，bに入れる字句の適切な組合せはどれか。
利用者は，トークンと呼ばれる装置などを用いて生成された【　a　】のパスワードを使って認証を受ける。このパスワードをワンタイムパスワードと呼び，これを利用することで，パスワードの漏えいによる【　b　】のリスクを低減することができる。",72qa.png,ア,イ,ウ,エ,4,"ワンタイムパスワードは、一度しか使用できない使い捨てのパスワードのことです。通信経路上でパスワードが盗聴されても、正しいパスワードは認証の度に異なり、同じパスワードは二度と使えないため固定パスワード方式と比較してセキュリティ強度が高くなります。
実現する方法としてはチャレンジレスポンス方式やトークンを使った時刻同期式、S/KEYなどがあります。
ワンタイムパスワードを使用すると「不正入手したパスワードを使ったログイン」や「認証シーケンスを再現して不正ログインを試みる攻撃(リプレイ攻撃)」によって認証を突破されるリスクを低減することができます。",
73,テクノロジ系,受け取ったデータが改ざんされていることを検知するのに使われる技術はどれか。,,圧縮,デジタル署名,パスワード認証,フィルタリング,2,"デジタル署名は、公開鍵暗号技術を応用してデジタル文書の正当性を保証する技術です。この技術を利用すると「発信元が正当であるか」と「改ざんの有無」の2点を確認することが可能です。
デジタル署名の生成と検証の手順は次のとおりです。
1.送信者は、送信するメッセージのハッシュ値（メッセージダイジェスト）を生成し、それに送信者の秘密鍵で署名して、署名データを作成する
2.送信者は、署名データをメッセージに付加して送信する
3.受信者は、署名データ付きのメッセージを受信する
4.受信者は、受信したメッセージのハッシュ値と送信者の公開鍵を使用して、署名データを検証する
5.検証は、送信されたメッセージと受信したメッセージが同じであり、鍵ペアが正しい場合に限り成功する。これにより、通信内容が改ざんされていないことと送信者の正当性が確認できる",73exp.png
74,マネジメント系,AIを利用したチャットボットに関する事例として，最も適切なものはどれか。,,あらゆる物がインターネットを介してつながることによって，外出先でスマートデバイスから自宅のエアコンのスイッチを入れることなどができるようになる。,コンピュータが様々な動物の画像を大量に認識して学習することによって，犬と猫の画像が判別できるようになる。,商品の操作方法などの質問を書き込むと，詳しい知識をもった人が回答や助言を投稿してくれる。,商品の販売サイトで，利用者が求める商品の機能などを入力すると，その内容に応じて推奨する商品をコンピュータが会話型で紹介してくれる。,4,"チャットボットとは、""チャット""と""ロボット""を組み合わせた言葉で、相手からのメッセージに対してテキストや音声でリアルタイムに応答するようにプログラムされたソフトウェアです。利用者の問いかけを認識して最適な答えを判断するために、内部には人工知能の技術が使われています。機械学習やAIの進化に伴ってチャットボットも進化しており、人件費の削減を図るためにECサイトやカスタマーサポートに活用されることが増えてきています。
Microsoftが開発した女子高生AIの「りんな」が少し前に話題になりましたが、あれもチャットボットの1つです。また、メッセージアプリのLINE上にはいつでも会話できる相手として各種チャットボットアカウントがあります。",
75,テクノロジ系,セキュリティ事故の例のうち，原因が物理的脅威に分類されるものはどれか。,,大雨によってサーバ室に水が入り，機器が停止する。,外部から公開サーバに大量のデータを送られて，公開サーバが停止する。,攻撃者がネットワークを介して社内のサーバに侵入し，ファイルを破壊する。,社員がコンピュータを誤操作し，データが破壊される。,1,"リスクに付け込んでセキュリティ事故を引き起こす脅威は、技術的脅威、人的脅威、物理的脅威に分類されます。セキュリティ対策も脅威の分類に応じて、技術的セキュリティ対策、人的セキュリティ対策、物理的セキュリティ対策に分かれます。
【技術的脅威】
不正アクセス、マルウェア感染、改ざん、DoS攻撃、なりすましなどのようにプログラムやネットワークなどの技術的手法による脅威
【人的脅威】
紛失、誤操作、誤廃棄、盗聴、ソーシャルエンジニアニングなどのように人のミスや不正による脅威
【物理的脅威】
自然災害、不法侵入、ハードウェア障害、破壊などのように物理的な手法による脅威",
76,ストラテジ系,"JIS Q 9000では，品質とは""本来備わっている特性の集まりが，要求事項を満たす程度""と定義されている。この定義に基づいて評価したとき，品質の良い製品として，最も適切なものはどれか。",,クレームが少なく顧客満足度が高い製品,製造を外部に委託せず自社で生産している製品,設計や製造にCAD/CAMを導入している製品,良質の材料や部品を使用している製品,1,"クレームが少ないということは、購入した顧客の要求を満たしているということであるので、問題文の品質の定義""本来備わっている特性の集まりが、要求事項を満たす程度""に最も合致していると言えます。
他の項目については、""顧客の要求事項を満たす程度""について考慮されていません。品質とは、ある一部分の良し悪しで決まるものではなく、すべての工程を経たのち顧客の手元に届いた品質がすべてです。手元に届くまでのどの工程に不備があっても顧客満足を得る品質にすることはできません。したがって一般にクレームが少なければ、品質がよいと言えるのではないかと思います。",
77,テクノロジ系,WebサイトなどでRSSという表記を見かけることがある。このRSSの説明として，適切なものはどれか。,,HTMLで記述された文書にレイアウトスタイルを定義するためのマークアップ言語,Webページの見出しやリンク，要約などを定型に従って記述できるフォーマットの総称,インターネット上を流れるデータを暗号化し，プライバシー情報などを保護する技術,ネットワーク上にブックマークを登録することによって，利用価値の高いWebサイト情報を他のユーザーと共有するサービス,2,RSSは、ブログやニュースサイト、電子掲示板などのWebサイトで、効率の良い情報収集や情報発信を行うために用いられている文書フォーマットの総称です。ページの見出しや要約、更新時刻などの記事に関するメタデータを、XMLベースの構造化データとして記述します。,
78,マネジメント系 ,システム監査の内容として，適切なものはどれか。,,開発されたシステムを，実際にシステムを使う利用者自身が，本番稼働してよいかどうかを判断するためにテストすること,システムを利用するための認証として，指紋，眼球の虹彩，声紋などの身体的特徴による本人確認を行うこと,組織体の情報システムに関わるリスク対策が適切に整備・運用されているかを，独立的な立場で検証すること,ネットワークを通じて外部からシステムに侵入し，無断でデータやプログラムを盗み見たり，改ざん・破壊などを行ったりすること,3,システム監査は、情報システムの信頼性・安全性・効率性などの向上のために、客観的な立場であるシステム監査人が情報システムを総合的に評価し、助言・勧告・改善活動のフォローアップまでを行う一連の作業をいいます。,
79,テクノロジ系,デジタル署名を用いることで可能なことはどれか。,,署名された文書の暗号化方式の受信者への通知,署名された文書の改ざんの検出,署名された文書の改ざんの防止,署名された文書の漏えいの防止,2,デジタル署名は、公開鍵暗号方式を使ってデジタル文書の正当性を保証する技術です。デジタル署名を利用して確認できることは「発信者が正当であるか」と「改ざんの有無」の2点です。また改ざんの検知はできますが改ざん部位の特定、および訂正機能はもちません。,
80,マネジメント系,システム監査の業務は，監査計画の立案，監査証拠の入手と評価，監査手続の実施，監査報告書の作成，フォローアップのプロセスに分けられる。これらのうち，適切な対策の実施を指導するプロセスはどれか。,,監査証拠の入手と評価,監査手続の実施,監査報告書の作成,フォローアップ,4,"システム監査は、監査報告書の作成と提出をもって終了しますが、監査報告書に改善提案を記載した場合、システム監査人は、当該改善事項が適切かつ適時に実施されているかどうかを確かめておく必要があります。監査対象部門が策定した改善計画及びその実施状況に関する情報を収集し、改善状況をモニタリングすることで改善の実現を支援することを「フォローアップ」といい、システム監査人の役割の一つとなっています。
なお、改善計画は監査対象部門や改善責任部門が主体となって実施するため、システム監査人は、改善の実施そのものに責任をもつことはありません。あくまで、独立性かつ客観性な視点で改善の実施が適切であるかどうかを監視し、指導する立場になります。
設問に「適切な対策の実施を指導する」とありますので、適切なプロセスはフォローアップになります。",
81,テクノロジ系,ワープロソフト，プレゼンテーションソフトで作成した文書やWebページに貼り付けて，表現力を向上させる画像データのことを何と呼ぶか。,,CSS,キャプチャ,クリップアート,テンプレート,3,クリップアートは、視覚的な表現効果を高めるために、ワープロ文書や表計算ワークシートなどに貼り付けられる挿絵・イラストのことです。,81exp.png
82,テクノロジ系,インターネットで用いるドメイン名に関する記述のうち，適切なものはどれか。,,ドメイン名には，アルファベット，数字，ハイフンを使うことができるが，漢字，平仮名を使うことはできない。,ドメイン名は，Webサーバを指定するときのURLで使用されるものであり，電子メールアドレスには使用できない。,ドメイン名は，個人で取得することはできず，企業や団体だけが取得できる。,ドメイン名は，接続先を人が識別しやすい文字列で表したものであり，IPアドレスの代わりに用いる。,4,IPアドレスは単なる数字の並びで覚えにくいので、人間が分かりやすいように文字列で表したドメイン名が使われています。,
83,ストラテジ系,PCの生産などに利用されるBTOの説明として，最も適切なものはどれか。,,自社のロゴを取り付けた製品を他社に組み立てさせる。,製品を完成品ではなく部品の形で保存しておき，顧客の注文を受けてから，注文内容に応じた製品を組み立てる。,必要な時期に必要な量の原材料や部品を調達することによって，生産工程間の在庫をできるだけもたずに生産する。,一つの製品を1人の作業者だけで組み立てる。,2,BTO(Build to Order)は、顧客の注文を受けてから製品を製造する、いわゆる受注生産方式です。メーカーでは、見込み生産を行なわず、他の製品への流用できる部品の形で在庫を持つことで余剰在庫を抱えるリスクを低減することができる利点があります。,
84,マネジメント系,受託しているシステム開発プロジェクトの期間が半分を経過した時点で，委託元から開発中のシステムへの機能追加の依頼があった。プロジェクトマネージャの行動として，最も適切なものはどれか。,,依頼を受け入れ，予算や要員を確保する。,期間の半分を経過した時点での変更は一般的に受け入れられないことを理由に，依頼を断る。,コストやスケジュールなどへの影響を勘案し，変更管理の手順に従う。,プロジェクトスコープだけに影響するので，速やかにスコープのベースラインを更新する。,3,"プロジェクトに対する全ての変更要求は、統合変更管理というプロセスで処理されます。
統合変更管理では、専門家の判断や会議などの手法で変更要求をレビューし、採否を決定します。プロジェクトの変更は、スコープ、スケジュール、コスト、リスク等の様々なマネジメント計画に影響を与えるため、プロジェクトマネージャは、受け付けた変更要求の採否を自分の考えのみで判断してはいけません。必ず変更管理で定められている手順に委ねる必要があります。",
85,テクノロジ系,電子証明書を発行するときに生成した秘密鍵と公開鍵の鍵ペアのうち，秘密鍵が漏えいした場合の対処として，適切なものはどれか。,,使用していた鍵ペアによる電子証明書を再発行する。,認証局に電子証明書の失効を申請する。,有効期限切れによる再発行時に，新しく生成した鍵ペアを使用する。,漏えいしたのは秘密鍵だけなので，電子証明書をそのまま使用する。,2,"秘密鍵は、その所有者が厳格に管理しなければなりません。漏えいした場合、以下のような問題が起きます。
(1)暗号化通信のデータを傍受されると、内容が復号されてしまう
(2)漏えいした秘密鍵でデジタル署名が生成された場合、受信者には正当な送信者であるかどうかの見分けがつかない（なりすましが可能になる）
  有効期間内にある秘密鍵が漏えいした場合、認証局に失効を申請しなくてはなりません。そして、新しい秘密鍵と公開鍵を生成したうえで、正当な電子証明書を生成しなおす必要があります。認証局では、失効した鍵の一覧を証明書失効リスト(CRL)として公開しており、これに載っている鍵ペアの使用は禁止されます。",
86,テクノロジ系,不正アクセスなどに利用される，コンピュータシステムやネットワークに存在する弱点や欠陥のことを何というか。,,インシデント,セキュリティホール,ハッキング,フォレンジック,2,"セキュリティホール(Security Hole)は、ソフトウェアにおいて、プログラムの不具合や設計上のミスが原因となって発生した情報セキュリティ上の弱点のことです。これが残された状態でコンピューターを利用していると、悪意のあるユーザーにデータを盗まれたり不正にコンピューターを操作されてしまう可能性があります。
セキュリティホールが発見された場合は、対策のための修正プログラムが無償で配布されるため、日頃よりセキュリティアップデートを実施し攻撃を受けるリスクを下げることが重要です。",
87,ストラテジ系,システム開発案件A，B，Cのうち，採算性があるものはどれか。ここで，採算検討の対象期間はシステムのサービス開始後の5年目までとし，サービス開始後は，毎年，システムのメンテナンス費用が初期投資額の10％発生するものとする。,87qa.png,AとB,BとC,CとA,AとBとC,1,"問題文の条件を基に5年間の採算を計算してみましょう。
計算式は、
　(毎年のシステム効果×5)－(初期投資額＋初期投資額×0.1×5)　で、
簡略化すると
　(毎年のシステム効果×5)－(初期投資額×1.5)　となります。
答えが正の値になれば採算性があると考えられます。
　A＝80×5－250×1.5＝25
　B＝140×5－450×1.5＝25
　C＝200×5－700×1.5＝-50
以上のように採算性があるのは AとBだとわかります。",
88,マネジメント系,事業者の基幹となる業務で使用しているシステムにおける障害対策の考え方のうち，最も適切なものはどれか。,,障害が発生した際に短時間で復旧できると判断した場合は，混乱を避けるために復旧してから関連部門へ連絡する手順にすべきである。,障害が発生した際には短時間で業務を再開させることが最も重要なので，システムを再起動して業務を再開させてから障害原因を究明する手順にすべきである。,障害が発生した際の対処方法は状況によって異なるので，定められた対応手順よりも，現場での判断を最優先にすると規定すべきである。,障害の発生は避けられないものと考えて，一部の障害によってシステム全体が停止したり，業務が再開できなくなったりしないような対策を準備すべきである。,4,障害が発生しても業務が早期に復旧できるようにしたシステム構成に、デュアルシステムやデュプレックスシステムがあります。,
89,ストラテジ系,ある商品の4月の仕入と売上が表のとおりであるとき，移動平均法による4月末の商品の棚卸評価額は何円か。移動平均法とは，仕入の都度，在庫商品の平均単価を算出し，棚卸評価額の計算には直前の在庫商品の平均単価を用いる方法である。,89qa.png,"1,280 ","1,300 ","1,400 ","1,500 ",3,"移動平均法を用いて各時点における在庫評価額を計算していきます。
[4/18 売上150個]
払出単価には、直前の在庫商品の平均単価を用いるので、4/8時点の平均単価である12円になります。したがって払出合計額、および在庫合計額は以下のように計算できます。
[払出合計額]　12円×150個＝1,800(円)
[在庫合計額]　12円×50個＝600(円)
[4/29 仕入50個]
仕入れ単価は16円、仕入合計額は800円なので、直前の在庫合計額にこの金額を加えます。
[在庫合計額]　600＋800＝1,400(円)
[在庫平均単価]　1,400円÷100個＝14(円)
以後4月中の取引はないため、この時点での在庫合計額1,400円が4月末時点の在庫評価額になります。",89exp(1).png;89exp(2).png
90,テクノロジ系,並列処理の説明として，適切なものはどれか。,,一連の処理を同時に実行できる処理単位に分け，複数のCPUで実行すること,関連する複数の処理を一つの処理単位にまとめて実行すること,ビジネスロジックやデータベース処理はサーバ側で行い，ユーザーインタフェース処理はクライアント側で行うこと,一つのCPUの処理時間を短い単位に分割し，複数のアプリケーションソフトに順番に割り当てて実行すること,1,並列処理は、複数台のプロセッサにそれぞれ別の処理を割り当て、それらを並列に動作させることによって処理能力の向上を図る方式です。,
91,マネジメント系,ソフトウェア開発モデルには，ウォーターフォールモデル，スパイラルモデル，プロトタイピングモデル，RADなどがある。ウォーターフォールモデルの特徴の説明として，最も適切なものはどれか。,,開発工程ごとの実施すべき作業が全て完了してから次の工程に進む。,開発する機能を分割し，開発ツールや部品などを利用して，分割した機能ごとに効率よく迅速に開発を進める。,システム開発の早い段階で，目に見える形で要求を利用者が確認できるように試作品を作成する。,システムの機能を分割し，利用者からのフィードバックに対応するように，分割した機能ごとに設計や開発を繰り返しながらシステムを徐々に完成させていく。,1,"ウォーターフォールモデルは、開発プロジェクトを時系列に「要求定義」「外部設計(概要設計)」「内部設計(詳細設計)」「開発(プログラミング)」「テスト」「運用」などの作業工程(局面、フェーズ)に分割し、開発を上流から下流に一方向に進める開発モデルです。
原則として前工程が完了しないと次工程に進まない(設計中にプログラミングを開始するなどの並行作業は行わない)ことで、前工程の成果物の品質を確保し、システム開発の一貫性を保証しています。工程管理がしやすく大規模なシステム開発に向いている反面、工程の後戻りが生じると大幅な時間のロスが生じるといった欠点もあります。
ウォーターフォールモデル以外の3つの開発モデルの特徴は以下の通りです。
【スパイラルモデル】
対象システムを機能単位に分割し、設計～プログラミング・テストという一連の開発工程を何度も繰り返しながら開発工程の規模を徐々に拡大(機能の改良・追加)していく開発モデル
【プロトタイピングモデル】
システム開発の早い段階で目的とするシステムの試作品をつくり、利用者にそのイメージを理解させ、要件の確認と承認を得たうえで本格的な開発プロセスに進む開発モデル
【RAD(Rapid Application Development)】
統合開発環境によるプログラミングの半自動化や、視覚的な方法を用いたユーザーインタフェースの設計、モジュール開発などの機能を備える開発ツールを使い、短期間に目的プログラムを作成することを重視した開発モデル",91exp.png
92,テクノロジ系,"IoT機器やスマートフォンなどに内蔵されているバッテリの容量の表記において，""100mAh""の意味として，適切なものはどれか。",,100mAの電流を1時間放電できる。,100分間の充電で，電流を1時間放電できる。,1Aの電流を100分間放電できる。,1時間の充電で，電流を100分間放電できる。,1,"バッテリ容量の表記の単位である""mAh（ミリアンペア・アワー）""は、1時間でバッテリの容量全部を放電した場合にどれだけの電流を流せるかを表しています。値が大きいほどバッテリの容量も多いということになります。
""100mAh""は、100mAの電流を1時間放電できる容量を表します。",
93,テクノロジ系,"関係データベースを構築するための作業を，a～cに分けて行うとき，作業の順序として適切なものはどれか。
a.業務で使用するデータ項目の洗い出し
b.表の生成
c.レコードの挿入",,a → b → c,a → c → b,b → a → c,b → c → a,1,"レコードは表に対して挿入するのでbとcの作業順序は「b→c」、表を設計するためにはデータベースで管理するデータのリストアップが必要なのでaとbは「a→b」の順序でなくてはなりません。
これをまとめると適切な順序は「a → b → c」になります。
【レコード】
データベースに格納されるデータのこと。関係データベースは二次元の表でデータを管理するため1行が1レコードに対応する。",
94,ストラテジ系,ソフトウェアライフサイクルを，企画，要件定義，開発，運用のプロセスに区分したとき，要件定義プロセスで明確にする項目はどれか。,,システムを開発する目的,ソフトウェア構成品目ごとの機能と能力,データベースの構造,利害関係者のニーズと要望事項,4,"ソフトウェアライフサイクルにおける各プロセスでは次のような作業を実施します。
 【企画プロセス】
経営事業の目的・目標を達成するために必要とされるシステムに対する基本方針をまとめ、実施計画を得る。
【要件定義プロセス】
利害関係者ニーズの識別と制約事項の定義を行い、新たに構築する業務、システムの仕様、及びIT化の範囲と機能を明確にし、それらをシステム取得者側の利害関係者間で合意する。
【開発プロセス】
要求事項をもとに、顧客のニーズに合ったシステム／ソフトウェアを開発する。
【運用プロセス】
当初の目的の環境で、システム／ソフトウェア製品を運用する。
【保守プロセス】
運用中のシステム／ソフトウェアに対する変更や機能改善への対応、プログラムの欠陥への対応のためにプログラムの修正を実施する。
   上記の内容に当てはめると要件定義プロセスで明確化する事項は「利害関係者のニーズと要望事項」が適切です。",
